"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","id"
"7840","Sisquoc CDP",2012,2.23,7,5,0,0,0,0,4,0,2,7,0,230.5,20.5,0,0,0,0,20,0,210,230.5,0,-1.11,0.785599558723569,-0.512857142857143,-0.512857142857143,-0.148571428571429,0.257839004770326,17916,15369,1083
"7841","Sky Valley CDP",2012,24.269,104,100,0,12,2,0,48,30,7,70,0,19978,19128,0,150,392,0,3825,13522,296,3411,0,-0.507307692307692,1.2452802006748,-0.108269230769231,-0.108269230769231,-0.0364423076923077,0.230153677107025,122290,89805,1084
"7842","Sleepy Hollow CDP",2012,2.987,866,862,1,35,5,0,601,69,31,503,0,136410.18,134060.18,300,2077,7745,0,70600.9,28074.27,5153,47392.51,0,-1.02822170900693,0.794286142170301,-0.438198614318707,-0.438198614318707,-0.0905311778290993,0.265862226170389,133938,118781,1085
"7843","Smith River CDP",2012,3.97,29,18,2,0,0,0,8,3,1,21,0,12039.21,1545.74,2636,0,0,0,7836.79,150,545.68,5889.21,0,-0.43448275862069,0.740962627777911,-0.49551724137931,-0.49551724137931,0.0103448275862069,0.248689174309456,55198,38582,1086
"7844","Snelling CDP",2012,0.54,3,3,0,0,0,0,3,0,0,2,0,270,270,0,0,0,0,270,0,0,20,0,-0.57,1.29903810567666,-1.26333333333333,-1.26333333333333,0.693333333333333,1.37587547886185,30760,22715,1087
"7845","Soda Bay CDP",2012,1.285,77,77,0,8,5,0,59,1,1,55,0,4610.5,4610.5,0,21,75,0,2734,1000,100,2826.5,0,-1.07324675324675,0.703985723461778,-0.466103896103896,-0.466103896103896,-0.098051948051948,0.518568472261655,91339,68419,1088
"7846","Soda Springs CDP",2012,0.339,33,30,0,1,0,0,20,4,1,18,0,4648.45,2875.45,0,0,25,0,3333,1100,25,2323.45,0,-0.838787878787879,0.916088006060818,-0.67030303030303,-0.67030303030303,-0.127272727272727,0.168101024819763,131581,108157,1089
"7847","Solana Beach city",2012,3.52,4503,4398,34,428,44,4,2035,737,80,2358,0,1724300.8,1625263.97,78784.83,9320.2,283521.52,750,318775.92,530604.19,147268.06,927203.3,0,-0.527337330668443,1.06500861633332,-0.288347768154564,-0.288347768154564,-0.0518965134354874,0.319672270737777,132311,114059,1090
"7848","Soledad city",2012,4.414,208,207,0,2,0,0,100,8,37,156,0,34487.82,34350.82,0,0,2800,0,17692,8400,910,11755.82,0,-0.960384615384615,0.686184469890344,-0.574471153846154,-0.574471153846154,-0.0831730769230769,0.255939170094291,158300,100633,1091
"7849","Solvang city",2012,2.425,1112,1083,0,159,1,1,574,251,45,611,0,142339.58,134650.87,0,2500,12805.54,100,42320.76,79507.5,2797.08,43103.49,0,-0.641151079136691,1.17759405005779,-0.284496402877698,-0.284496402877698,-0.0634712230215827,0.239917479586053,198679,169210,1092
"7850","Sonoma city",2012,2.742,2825,2810,5,139,16,0,1805,174,126,1702,0,361484.4,359150.4,1000,165.5,23228.7,0,195290.47,62877.59,10868.12,206856.97,0,-1.04157168141593,0.782430933908284,-0.57332389380531,-0.57332389380531,-0.0968778761061947,0.255237116099088,335151,291025,1093
"7851","Sonora city",2012,3.064,370,364,5,42,0,0,144,128,28,200,0,56269.36,53119.36,2750,0,2943.06,0,18924.6,23524.04,1952,25421.32,0,-0.167594594594595,1.27288712139724,0.00505405405405406,0.00505405405405406,0.00291891891891893,0.383939243893533,364871,279665,1094
"7852","Soquel CDP",2012,4.598,1962,1946,7,289,47,0,1316,66,134,1349,0,106267.57,103323.57,1622,3549.17,26382.94,0,58330.6,9077.62,16039.51,54737.6,0,-1.2230122324159,0.894758633710171,-0.520045871559633,-0.520045871559633,-0.0727522935779816,0.185046457794839,259957,207428,1095
"7853","Soulsbyville CDP",2012,3.01,220,217,1,25,0,0,149,12,12,143,0,9178.4,7678.4,500,0,722,0,3201.1,3160.8,392,3096.6,0,-1.15554545454545,0.651858020739938,-0.626590909090909,-0.626590909090909,-0.115090909090909,0.187052335384207,237644,182538,1096
"7854","South Dos Palos CDP",2012,1.535,30,30,0,7,0,0,15,9,0,18,0,84018,84018,0,0,585,0,70508,12975,0,32493,0,-0.720333333333333,0.99604903401435,-0.246333333333333,-0.246333333333333,-0.189333333333333,0.288622571026154,98653,58994,1097
"7855","South El Monte city",2012,2.843,519,299,33,48,2,0,204,25,8,386,0,537644.22,475666.01,18060,266.5,59345.5,0,475242,19414.5,4702,227316.97,0,-0.639691714836224,0.628060922632034,-0.629672447013487,-0.629672447013487,0.00566473988439307,0.317098774134202,247970,145431,1098
"7856","South Gate city",2012,7.236,947,850,24,137,1,0,371,85,58,629,0,248912.39,137245.89,28550,61,9096.34,0,96081.36,65505.36,4079,78468.39,0,-0.616071805702218,0.850473930255103,-0.36636747624076,-0.36636747624076,-0.0467687434002112,0.332181132538867,626330,400437,1099
"7857","South Lake Tahoe city",2012,10.161,1101,1056,31,146,1,0,697,110,29,579,0,72474,48097.83,10075,100,7268.56,0,29436.31,15467.95,1364.31,34550.43,0,-1.05631244323342,0.869017746716757,-0.657039055404178,-0.657039055404178,-0.121916439600363,0.250411763288251,953576,662768,1100
"7858","South Monrovia Island CDP",2012,0.548,150,150,0,12,0,0,46,69,9,87,0,12380.76,12380.76,0,0,811.86,0,3309.3,5793,240,3991.76,0,-0.0522,1.37445138292587,0.189666666666667,0.189666666666667,0.0704666666666667,0.306629953546018,136116,93964,1101
"7859","South Oroville CDP",2012,2.964,61,57,2,4,0,0,22,6,14,53,0,5193,1793,3000,0,144,0,269,3860,622,1268,0,-0.715737704918033,0.841364881242365,-0.544918032786885,-0.544918032786885,0.0798360655737705,0.492485166623587,348962,216420,1102
"7860","South Pasadena city",2012,3.405,6437,6289,60,678,14,0,4151,464,115,3371,0,1850043.93,1736532.78,27994.97,1597,82762.62,0,1174290.44,146737.12,343617.35,1129284.96,0,-0.998109367717881,0.829150696816114,-0.622802547770701,-0.622802547770701,-0.101612552431257,0.282972892370123,277491,221929,1103
"7861","South San Francisco city",2012,9.141,6250,5173,804,617,29,0,2502,522,464,3948,0,2357507.11,566746.3,1482583.95,5375,65769.66,0,800039.42,517483.02,147535.49,1269203.94,0,-0.72716,0.832247763718503,-0.4049952,-0.4049952,-0.0652864,0.344863211834219,689590,524274,1104
"7862","South San Gabriel CDP",2012,0.833,468,467,1,22,0,0,133,24,16,396,0,19441.86,19041.86,400,0,5910,0,11622.5,1432,755,11541.36,0,-0.618803418803419,0.813816885256872,-0.441858974358974,-0.441858974358974,-0.139508547008547,0.312872944794176,95219,60114,1105
"7863","South San Jose Hills CDP",2012,1.508,140,130,0,35,0,0,85,6,0,106,0,9471.27,5671.27,0,0,1902.17,0,5653.1,651,0,4831.27,0,-1.01835714285714,0.607090728068619,-0.324785714285714,-0.324785714285714,-0.0456428571428571,0.154091492555913,152042,91029,1106
"7864","South Taft CDP",2012,1.076,23,23,0,0,0,0,12,0,4,23,0,1126,1126,0,0,0,0,330,0,248,1126,0,-0.949565217391304,0.533031452772038,-0.117391304347826,-0.117391304347826,-0.0104347826086956,0.0275480177260073,104493,62654,1107
"7865","South Whittier CDP",2012,5.337,1255,1234,0,223,71,0,498,141,22,913,0,97688.81,89155.87,0,1339,11615.67,0,26782.77,44942.62,1981.73,68070.8,0,-0.711362549800797,1.02252726984449,-0.408868525896414,-0.408868525896414,-0.062406374501992,0.25278028603035,420708,272220,1108
"7866","Spreckels CDP",2012,0.122,92,85,2,7,0,0,68,12,0,59,0,16510.5,8030.5,5000,0,4167.5,0,2818,9255,0,10362.5,0,-0.955434782608696,0.927833839145022,-0.338478260869565,-0.338478260869565,-0.0858695652173913,0.165762654192926,168153,122979,1109
"7867","Spring Valley CDP",2012,7.165,2188,2143,15,214,8,0,899,133,84,1543,0,156777.06,122217.31,28250,230,9864.82,0,33765.91,37250,3270.56,85978.93,0,-0.795452468007313,0.889848158329207,-0.387769652650823,-0.387769652650823,-0.100374771480804,0.273996395972034,553565,407459,1110
"7868","Spring Valley Lake CDP",2012,2.969,66,66,0,4,0,0,26,30,4,24,0,12765.11,12765.11,0,0,4000,0,982.36,10747.5,477.6,1875.25,0,-0.21530303030303,1.15256399081082,0.115909090909091,0.115909090909091,-0.0475757575757576,0.357250442669955,188566,134540,1111
"7869","Springville CDP",2012,4.183,111,88,22,10,0,0,34,9,13,100,0,19383.97,11675.97,7458,0,353,0,5973.12,1581,456.75,14908.97,0,-0.680810810810811,0.922038389197972,-0.40027027027027,-0.40027027027027,0.0213513513513513,0.222581901112159,292378,240875,1112
"7870","Squaw Valley CDP",2012,56.559,100,98,1,32,0,0,4,38,12,64,0,159962,159802,60,0,2407.91,0,257.05,155767.5,1402.5,73849.5,0,0.2618,1.00445912879228,0.2635,0.2635,0.0884,0.288327535412017,95359,69633,1113
"7871","Squirrel Mountain Valley CDP",2012,0.713,58,58,0,4,0,0,48,2,0,13,0,2046,2046,0,0,220,0,1704,70,0,340,0,-1.22655172413793,0.667176695405132,-0.910172413793104,-0.910172413793104,-0.293965517241379,0.193770887093019,155160,115503,1114
"7872","St. Helena city",2012,4.986,1663,1632,10,152,6,0,1063,202,63,783,0,389934.14,349857.39,10260,2788,22781.2,0,209631.15,100712,9396.48,148625.81,0,-0.854972940469032,0.861318488701206,-0.520571256764883,-0.520571256764883,-0.0678171978352375,0.298409518835265,83515,69392,1115
"7873","Stallion Springs CDP",2012,16.429,131,131,0,9,0,0,72,23,0,62,0,6188,6188,0,0,735,0,2682,2113,0,2426,0,-0.449007633587786,1.26497057123679,-0.303206106870229,-0.303206106870229,-0.154351145038168,0.295747031291794,142524,117108,1116
"7874","Stanford CDP",2012,2.731,5447,5406,40,473,10,37,4117,138,44,2886,0,2932498.3,2836166.3,95332,693,340706.68,41700,1561083.14,184765.91,275569,1785054.07,0,-1.25747016706444,0.474519634348985,-0.784461171286947,-0.784461171286947,-0.118870938131081,0.222925148402358,225528,189185,1117
"7875","Stanton city",2012,3.15,959,789,68,67,2,0,358,143,31,662,0,224651.19,143713.41,32860,2000,42528.48,0,22699.94,137166.2,8050.62,135107.99,0,-0.43043795620438,1.03987182848906,-0.17266944734098,-0.17266944734098,-0.0468925964546402,0.253517097086306,359772,205460,1118
"7876","Stevenson Ranch CDP",2012,6.361,2311,2275,19,595,6,0,884,273,47,1522,0,403426.13,382666.13,13170,49,46686.8,0,98631.57,183659.85,6497.67,141393.22,0,-0.460657723929035,1.01372362334513,-0.251380354824751,-0.251380354824751,-0.0272868887927304,0.328514489848085,88912,69413,1119
"7877","Stinson Beach CDP",2012,1.441,62,59,3,7,0,0,35,19,4,27,0,74628,74333,295,0,516.5,0,70577,3476,395,31727,0,-0.631290322580645,0.973650362853699,-0.0820967741935484,-0.0820967741935484,-0.168387096774194,0.262411224947254,52616,45349,1120
"7878","Stirling City CDP",2012,1.177,1,1,0,0,0,0,0,0,0,1,0,50,50,0,0,0,0,0,0,0,50,0,0.05,NA,1.03,1.03,-0.98,NA,50928,38017,1420
"7879","Stockton city",2012,61.67,12505,11146,464,1220,15,1,5308,1871,569,7597,0,3646350.38,2406529.75,449490.85,1278.25,212781.34,10,1030856.31,1763460.94,169627.99,1529660.67,0,-0.654469412235106,0.967142465052933,-0.432047980807677,-0.432047980807677,-0.0480647740903638,0.337715425848177,4199258,2680136,1121
"7880","Stratford CDP",2012,0.683,7,0,1,0,0,0,0,1,6,7,0,2310,0,200,0,0,0,0,1000,1310,2310,0,0.851428571428571,0.0491353814911995,0.101428571428571,0.101428571428571,0.75,0.502692749102272,41376,25350,1122
"7881","Strathmore CDP",2012,1.406,50,50,0,42,0,0,41,0,0,10,0,1636.2,1636.2,0,0,1000.26,0,708,0,0,1088.2,0,-1.2296,0.54405491919662,-0.9408,-0.9408,-0.2888,0.135445448014155,190867,127970,1123
"7882","Strawberry CDP",2012,1.317,2782,2605,124,311,18,1,1661,406,58,1396,0,8276190.92,6903680.92,419810,5714.5,342558,250,1118010.67,650258.03,3239329,7144464.45,0,-0.795086268871316,0.948578968856353,-0.473350107836089,-0.473350107836089,-0.0724550682961898,0.360652616680609,367412,307238,1124
"7883","Suisun City city",2012,4.105,807,777,7,101,11,0,416,79,43,491,0,49818.65,39667.6,3949.5,389.5,6423.69,0,19872.04,14139.65,2849.97,19392.95,0,-0.843097893432466,0.953567192781614,-0.438624535315985,-0.438624535315985,-0.109368029739777,0.239494343492124,572083,392683,1126
"7884","Summerland CDP",2012,1.983,357,351,3,36,0,0,230,25,16,166,0,104174.89,101994.89,180,0,8148.2,0,68802.39,10700,7512.5,28914.4,0,-1.13422969187675,0.690447894781388,-0.76672268907563,-0.76672268907563,-0.101204481792717,0.177981678081386,101738,87820,1128
"7885","Sun Village CDP",2012,10.686,265,249,16,182,0,0,161,2,20,222,0,7609.7,6239.7,1370,0,864.2,0,5286.8,85,1488,3138.7,0,-1.25128301886792,0.674121661344511,-0.470679245283019,-0.470679245283019,-0.0849433962264151,0.152009570957438,299828,192199,1129
"7886","Sunny Slopes CDP",2012,1.884,6,6,0,0,0,0,5,1,0,1,0,225,225,0,0,0,0,125,100,0,25,0,-0.93,1.02878569196893,-0.733333333333333,-0.733333333333333,-0.196666666666667,0.186511840553533,51750,46593,1421
"7887","Sunnyside CDP",2012,1.932,340,333,4,22,0,0,153,85,14,161,0,72965.31,72244.36,580.95,0,3474.5,0,20976.9,40724.12,2982.62,27401.86,0,-0.581264705882353,1.13454649130547,-0.343823529411765,-0.343823529411765,-0.0639705882352941,0.296762967230443,356557,226994,1130
"7888","Sunnyside-Tahoe City CDP",2012,3.38,769,747,13,14,4,0,437,54,9,403,0,64190.32,62337.17,675.65,35,3676,0,34622,15256.47,271.65,20212.82,0,-1.10970091027308,0.852847429821921,-0.67222366710013,-0.67222366710013,-0.101274382314694,0.232094042724927,96389,78803,1131
"7889","Sunnyslope CDP",2012,1.474,34,34,0,9,0,0,13,10,6,21,0,748.62,748.62,0,0,240,0,116.5,365.12,143,338.5,0,-0.5,1.21217060505425,-0.203235294117647,-0.203235294117647,-0.0114705882352941,0.23339564994182,117824,76014,1132
"7890","Sunnyvale city",2012,21.987,18464,18072,215,4906,676,15,12046,1126,419,10778,0,2250239.17,1746622.61,241202.67,119292.29,584004.48,20183,1168046.91,430641.69,102066.41,1035819.1,0,-1.07013052426343,0.795588544593357,-0.621694649046794,-0.621694649046794,-0.0956195840554592,0.248339828282442,1411739,1159862,1133
"7891","Sunol CDP",2012,27.751,184,144,9,16,0,0,80,29,17,110,0,55659.68,44880.21,864.36,0,3815,0,18237.71,15442,4983.2,26031.97,0,-0.583369565217391,0.910747338801622,-0.534184782608696,-0.534184782608696,-0.0264130434782609,0.359438181896268,200038,155841,1134
"7892","Sunset Beach CDP",2012,0.192,316,305,4,22,1,0,77,93,23,204,0,475164.23,364345.23,1299,2500,1608,0,7695.66,458795.28,619.43,235843.21,0,0.0282594936708861,1.26915412740767,0.0550316455696202,0.0550316455696202,0.0318354430379747,0.320031424265775,53532,38619,1135
"7893","Susanville city",2012,7.931,310,304,1,26,0,0,141,50,37,221,0,20806.3,17306.3,100,0,1572.5,0,5803.5,9846,1392,9672.3,0,-0.748193548387097,1.06778782358866,-0.301806451612903,-0.301806451612903,-0.0333225806451613,0.204191338515399,116763,89655,1136
"7894","Sutter CDP",2012,3.036,56,55,1,3,0,0,35,5,0,34,0,6643,6543,100,0,220,0,2025,1485,0,3018,0,-0.799464285714286,0.879486254257889,-0.697142857142857,-0.697142857142857,-0.0933928571428572,0.204194887174121,78510,58492,1137
"7895","Sutter Creek city",2012,2.558,456,426,1,10,0,0,239,15,47,322,0,34456.95,33500.19,200,0,1239,0,12141.94,3290,1467.74,17029.3,0,-0.871820175438596,0.814217603625465,-0.412258771929825,-0.412258771929825,8.77192982456342e-05,0.27210452294898,294894,245837,1138
"7896","Swall Meadows CDP",2012,4.462,160,160,0,26,0,0,139,2,0,62,0,6180.5,6180.5,0,0,745,0,5772,200,0,2015.5,0,-1.36725,0.417276208238936,-0.891375,-0.891375,-0.160625,0.214252209869495,51750,46593,1139
"7897","Taft city",2012,15.113,313,273,30,11,0,0,61,32,17,244,0,86036.81,47149.81,7187,0,131.2,0,3987,12300,1086.67,71485.81,0,-0.155431309904153,0.869968992177239,-0.211214057507987,-0.211214057507987,0.0553993610223642,0.370125477163819,361011,230051,1140
"7898","Taft Heights CDP",2012,0.303,36,36,0,0,1,0,16,14,0,20,0,14412.2,14412.2,0,100,0,0,2231,11400,0,1002.2,0,-0.275555555555556,1.26665689219286,0.0347222222222222,0.0347222222222222,-0.0063888888888889,0.18330540912879,104493,62654,1141
"7899","Taft Mosswood CDP",2012,0.473,13,13,0,0,0,0,0,0,0,13,0,198.71,198.71,0,0,0,0,0,0,0,198.71,0,-0.31,0,0,0,0,0,78605,48726,1422
"7900","Tahoe Vista CDP",2012,2.716,84,81,1,3,0,0,46,3,2,69,0,36199,35818,81,0,26,0,3995,385,60,14074,0,-1.23738095238095,0.519638704531596,-0.708095238095238,-0.708095238095238,-0.0536904761904762,0.157164481117941,60766,48438,1142
"7901","Tahoma CDP",2012,2.594,12,11,1,6,0,0,6,0,3,11,0,1821,1321,500,0,196,0,1625,0,98,1321,0,-1.0225,0.50355328326892,-0.448333333333333,-0.448333333333333,-0.190833333333333,0.359860031712668,110912,87928,1394
"7902","Talmage CDP",2012,1.59,102,71,6,2,0,0,43,1,0,87,0,3938.54,3140.8,467.58,0,400,0,1478,1000,0,2015.54,0,-0.898921568627451,0.884869411255545,-0.572352941176471,-0.572352941176471,-0.0170588235294117,0.494603728241793,36784,26773,1143
"7903","Tamalpais-Homestead Valley CDP",2012,4.637,6659,6651,4,628,52,1,4774,139,140,3637,0,868399.14,848927.1,5500,3987.6,73324.9,50,586681.67,48171.24,28179.5,376540.57,0,-1.25567502628022,0.498505763767076,-0.778567352455324,-0.778567352455324,-0.105374680883015,0.236319321880665,281132,249585,1144
"7904","Tara Hills CDP",2012,0.639,182,182,0,22,0,0,107,44,3,115,0,8308.5,8308.5,0,0,1187,0,4451,3295,170,2731.5,0,-0.534450549450549,1.24507847731306,-0.0975824175824176,-0.0975824175824176,-0.0582967032967033,0.244146636243614,118104,90591,1145
"7905","Tarpey Village CDP",2012,0.805,69,69,0,7,0,0,31,8,1,37,0,4869.02,4869.02,0,0,80,0,2920,450.37,200,1587.65,0,-0.652608695652174,1.21279775261451,-0.427391304347826,-0.427391304347826,-0.0236231884057971,0.42604877867133,186128,122141,1146
"7906","Taylorsville CDP",2012,3.248,9,7,0,2,0,0,5,1,0,6,0,723.16,373.16,0,0,48.16,0,425,150,0,423.16,0,-0.586666666666667,0.994723579694379,-0.557777777777778,-0.557777777777778,-0.0288888888888889,0.0822259758902934,53688,40467,1147
"7907","Tehachapi city",2012,9.874,262,255,5,26,0,0,90,61,17,166,0,23935.93,20650.93,2625,0,2182.27,0,5630.5,12975.24,662.36,8119.35,0,-0.436106870229008,1.1172963210334,-0.262900763358779,-0.262900763358779,-0.0358396946564885,0.175254224397745,430581,334350,1148
"7908","Tehama city",2012,0.794,12,12,0,7,0,0,8,2,0,9,0,402.5,402.5,0,0,72.5,0,100,200,0,192.5,0,-1.15666666666667,1.09330469289908,-0.335,-0.335,-0.113333333333333,0.276580855622673,107356,79253,1149
"7909","Temecula city",2012,30.151,6342,5978,88,623,50,10,2016,884,542,4338,0,1434193.4,547399.16,110564.01,2385.15,45916.06,298.24,442188.75,525408.29,171355.31,689591.58,0,-0.41394197414065,1.06912746472153,-0.224635761589404,-0.224635761589404,-0.0242935982339956,0.320517979225971,1315596,1033832,1150
"7910","Temelec CDP",2012,1.588,428,427,0,85,1,0,362,17,1,265,0,19491,19441,0,5,6112,0,16486.79,2449,30,8440.46,0,-1.18728971962617,0.583733955142125,-0.65446261682243,-0.65446261682243,-0.103528037383178,0.206522294749156,171621,149881,1151
"7911","Temescal Valley CDP",2012,19.302,1109,1066,20,114,2,0,451,132,53,748,0,124253.88,98449.35,14109.2,151,8301.9,0,41299.17,37473.33,1890.62,54966.55,0,-0.463615870153291,1.1013448459223,-0.223146979260595,-0.223146979260595,-0.0589990982867448,0.205366602287047,440110,333728,1152
"7912","Temple City city",2012,4.006,1724,1653,28,185,6,6,798,218,24,1139,0,190648.72,162416,16913,725,21058.16,4000,70150.39,55495.06,1293.96,90388.68,0,-0.581537122969838,1.01335459599124,-0.28280162412993,-0.28280162412993,-0.0370533642691415,0.242062897543355,507872,338880,1153
"7913","Templeton CDP",2012,7.717,768,764,0,27,0,0,372,111,61,486,0,59451.68,56851.68,0,0,3149.5,0,13386.53,27046.44,2685.5,25752.2,0,-0.8016796875,0.989959985760506,-0.369973958333333,-0.369973958333333,-0.0379427083333333,0.235663089790055,610363,497840,1154
"7914","Terminous CDP",2012,0.977,10,10,0,0,0,0,4,3,0,6,0,20480,20480,0,0,0,0,160,185,0,20270,0,0.166,1.30349274387445,-0.071,-0.071,0.237,0.426485638679663,15326,12153,1346
"7915","Terra Bella CDP",2012,2.721,40,22,13,0,0,0,18,11,0,27,0,28648.45,10339.1,10737.35,0,0,0,9176.5,11550,0,16898.45,0,0.02475,0.777490992610039,0.05875,0.05875,-0.0845,0.207376160141111,78531,59842,1155
"7916","Teviston CDP",2012,2.171,3,3,0,2,0,0,0,3,0,0,0,140,140,0,0,90,0,0,140,0,0,0,1.2,0,1.08,1.08,0.12,0.225166604983954,145036,89460,1451
"7917","Thermal CDP",2012,9.451,36,33,2,0,0,0,7,0,8,26,0,3820,3220,350,0,0,0,420,0,300,3220,0,0.241388888888889,0.7359276081548,-0.221388888888889,-0.221388888888889,0.271666666666667,0.600245187997609,219526,145481,1156
"7918","Thermalito CDP",2012,12.702,90,87,0,3,0,0,30,25,14,54,0,6823.5,6155.5,0,0,750,0,1925.5,2210,964,3289.5,0,-0.0696666666666667,1.14447912690014,0.0588888888888889,0.0588888888888889,-0.0487777777777777,0.342485389757364,259825,164035,1157
"7919","Thornton CDP",2012,2.127,11,6,4,0,0,0,1,8,1,3,0,9795,3295,4000,0,0,0,1000,7600,1000,1495,0,0.55,0.515810042554427,0.450909090909091,0.450909090909091,0.0990909090909091,0.718114956611468,15326,12153,1158
"7920","Thousand Oaks city",2012,55.031,30098,29144,122,2844,158,31,11315,3357,523,20711,0,7297419.37,4382826.37,250572.84,35175.4,388593.15,4025,1785598.22,3221697.35,309602.76,4334604.74,0,-0.47986776530002,0.997588541310621,-0.253653398896937,-0.253653398896937,-0.0209422552993554,0.303365681216411,2315134,1888595,1159
"7921","Thousand Palms CDP",2012,23.636,582,573,0,191,103,0,372,29,7,427,0,19331.7,17200.7,0,3533.06,4855.5,0,10167.1,3089,666.34,11581.34,0,-0.897061855670103,0.799138386889061,-0.488865979381443,-0.488865979381443,-0.00271477663230241,0.335862520673748,640634,550844,1160
"7922","Three Rivers CDP",2012,44.505,273,273,0,10,0,0,177,23,11,143,0,12565.9,12565.9,0,0,664,0,6909,3655,1006,4057.9,0,-1.14336996336996,0.785956937418863,-0.658534798534799,-0.658534798534799,-0.0465201465201465,0.245636883331717,116684,97687,1161
"7923","Three Rocks CDP",2012,0.75,1,1,0,1,0,0,0,0,0,1,0,99,99,0,0,99,0,0,0,0,99,0,0,NA,0,0,0,NA,91014,49938,1452
"7924","Tiburon town",2012,4.446,4616,4594,2,470,74,2,2901,453,55,2389,0,2630528.82,2407111.36,1095,10028,160144.98,450,1404652.86,846526.52,8433.33,989387.41,0,-0.963013431542461,0.828644023246811,-0.562597487001733,-0.562597487001733,-0.079932842287695,0.283721392640086,141936,124601,1162
"7925","Timber Cove CDP",2012,5.651,23,23,0,0,0,0,13,1,4,22,0,798,798,0,0,0,0,117.5,462,108,788,0,-1.25608695652174,0.551911876450932,-0.241304347826087,-0.241304347826087,-0.0408695652173913,0.0845798731419684,33270,30637,1347
"7926","Tipton CDP",2012,1.01,121,110,0,12,0,0,2,20,1,102,0,41754.48,34318.68,0,0,1607.51,0,13,13775,26,28979.48,0,0.839917355371901,0.586602500090946,0.143884297520661,0.143884297520661,0.0147107438016529,0.154930491835131,60833,40890,1163
"7927","Tomales CDP",2012,0.332,88,88,0,3,0,0,59,1,1,56,0,5856.67,5856.67,0,0,140,0,3541.67,250,100,3451.67,0,-1.46875,0.178337227371816,-0.581931818181818,-0.581931818181818,-0.152954545454545,0.276522573296141,175013,151404,1164
"7928","Tooleville CDP",2012,0.067,3,3,0,0,0,0,0,3,0,0,0,3000,3000,0,0,0,0,0,3000,0,0,0,0.92,0,0.856666666666667,0.856666666666667,0.0633333333333334,0.0981495457622363,58976,44922,1348
"7929","Topanga CDP",2012,19.129,6258,6223,18,610,24,0,4144,234,51,3758,0,1195081.82,1102810.82,16000,2782.5,144847.57,0,700795.62,214139.89,58569.18,525069.77,0,-1.11602748481943,0.677410699234615,-0.684546180888463,-0.684546180888463,-0.0762815596037072,0.249321781619324,188410,152805,1165
"7930","Toro Canyon CDP",2012,3.57,570,569,1,22,0,0,327,134,15,218,0,153427.94,153177.94,250,0,5681.75,0,73791.6,59179.16,10103.96,26170.66,0,-0.624105263157895,1.14662076575664,-0.360368421052632,-0.360368421052632,-0.0550701754385965,0.310605868604521,101738,87820,1166
"7931","Torrance city",2012,20.478,17503,16797,349,2304,54,7,7407,2352,403,10754,0,2771769.83,2268077.58,207198.27,8712,373512.7,197.1,955183.27,949349.85,74503.78,1236169.05,0,-0.551448894475233,1.04883987408871,-0.281739701765412,-0.281739701765412,-0.0517579843455407,0.289926462805831,1617617,1203198,1167
"7932","Tracy city",2012,22.003,3163,3038,33,270,16,9,996,403,185,2257,0,280501.97,181655.8,27542.67,270,14491.07,2445,111796.49,86666.6,3104.87,136884.8,0,-0.465684476762567,0.946008725588324,-0.25349035725577,-0.25349035725577,-0.0445684476762567,0.311595984468205,1216979,900754,1168
"7933","Traver CDP",2012,0.843,10,9,1,0,0,0,5,4,0,3,0,7125,6525,600,0,0,0,620,6500,0,610,0,-0.373,1.17033755814295,-0.274,-0.274,0.00299999999999997,0.204453200295596,118688,74056,1169
"7934","Tres Pinos CDP",2012,3.597,28,28,0,0,0,0,21,0,3,26,0,903.5,903.5,0,0,0,0,705,0,98,703.5,0,-1.27,0.158745078663875,-0.930714285714286,-0.930714285714286,-0.131428571428572,0.0709049591179153,42566,33071,1170
"7935","Trinidad city",2012,0.485,528,528,0,23,8,0,388,27,4,290,0,24615.67,24615.67,0,360,715,0,19309.32,2414.5,170,7355.04,0,-1.22085227272727,0.652641569303886,-0.757272727272727,-0.757272727272727,-0.0757196969696969,0.224331714755335,57468,43951,1171
"7936","Trinity Center CDP",2012,5.231,13,13,0,0,0,0,13,0,0,8,0,39,39,0,0,0,0,39,0,0,24,0,-1.55,0,-0.52,-0.52,-0.0761538461538462,0.122170540743835,148285,107664,1395
"7937","Trowbridge CDP",2012,6.747,32,22,4,0,0,0,5,15,3,13,0,16342.45,9850,1182.45,0,0,0,3250,9010,500,4542.45,0,0.8965625,0.539758663962498,0.669375,0.669375,0.099375,0.947093814544466,105864,83118,1172
"7938","Truckee town",2012,32.322,1591,1586,3,166,3,1,982,110,50,959,0,108783.54,105408.54,425,490,11134.8,500,48476.9,30475.4,3711.71,43491.09,0,-0.982017598994343,0.868142390252292,-0.561759899434318,-0.561759899434318,-0.0916970458830924,0.271702318117663,808000,646825,1173
